user_id,country,age,signup_date,subscription_type,subscription_status,months_inactive,inactive_3_months_flag,ad_interaction,ad_conversion_to_subscription,music_suggestion_rating_1_to_5,avg_listening_hours_per_week,favorite_genre,most_liked_feature,desired_future_feature,primary_device,playlists_created,avg_skips_per_day
1,France,25,2021-08-19,Premium Duo,Active,0,0,No,No,4,10.13,Bollywood,Radio,Concert Alerts,Tablet,7,8
2,Indonesia,20,2022-06-06,Premium Family,Active,0,0,Yes,No,5,11.63,Latin,Podcasts,Lyrics Translation,Mobile,7,6
3,Italy,53,2024-01-04,Premium Individual,Active,0,0,Yes,Yes,3,9.5,Bollywood,Lyrics,Better AI Recommendations,Desktop,6,5
4,Italy,48,2018-08-26,Premium Individual,Active,1,0,No,No,4,13.16,Electronic,Playlists,Social Listening,Smart Speaker,11,8
5,Australia,18,2020-05-29,Free,Active,0,0,No,No,4,12.7,Indie,Daily Mix,Lyrics Translation,Tablet,10,11
6,France,43,2018-12-19,Premium Duo,Active,0,0,No,No,4,12.51,Electronic,AI DJ,Better AI Recommendations,Car System,3,10
7,Italy,21,2022-09-09,Student,Active,3,1,Yes,Yes,4,8.61,Bollywood,Daily Mix,HiFi Audio,Tablet,13,8
8,India,43,2024-03-07,Free,Active,1,0,No,No,5,8.14,Pop,Daily Mix,Social Listening,Mobile,5,16
9,Germany,52,2018-08-31,Premium Family,Active,2,0,No,No,5,7.53,Latin,Discover Weekly,Concert Alerts,Mobile,10,21
10,India,56,2019-05-23,Premium Duo,Active,1,0,Yes,No,5,8.55,Rock,Playlists,Mood-based Auto Playlists,Tablet,12,17
11,Germany,53,2025-01-13,Free,Active,1,0,No,No,5,15.16,Classical,Playlists,Lyrics Translation,Car System,8,13
12,Italy,52,2018-09-11,Premium Individual,Active,3,1,No,No,4,12.7,Country,Discover Weekly,Concert Alerts,Mobile,9,10
13,UK,41,2024-07-26,Premium Duo,Active,0,0,No,No,5,3.27,K-Pop,Offline Mode,Lyrics Translation,Desktop,8,9
14,Italy,18,2018-07-23,Premium Family,Active,0,0,Yes,No,5,14.06,R&B,Lyrics,Concert Alerts,Mobile,11,9
15,Germany,34,2024-03-30,Premium Individual,Active,0,0,Yes,No,1,11.23,Jazz,Radio,Mood-based Auto Playlists,Mobile,11,13
16,Brazil,23,2022-09-13,Free,Active,1,0,Yes,Yes,5,10.34,Pop,Playlists,Concert Alerts,Smart Speaker,3,12
17,Australia,35,2024-05-27,Student,Active,0,0,No,No,4,7.99,Pop,AI DJ,Concert Alerts,Tablet,10,8
18,India,59,2024-04-13,Premium Family,Active,0,0,No,No,4,11.24,Pop,Discover Weekly,HiFi Audio,Tablet,4,10
19,Indonesia,52,2020-01-11,Student,Active,1,0,Yes,Yes,4,4.63,Latin,Radio,Better AI Recommendations,Mobile,12,10
20,Brazil,28,2025-03-01,Free,Active,0,0,No,No,2,13.54,Latin,Daily Mix,HiFi Audio,Smart Speaker,12,9
21,Canada,20,2022-03-06,Student,Active,8,1,Yes,Yes,4,13.48,K-Pop,Playlists,Lyrics Translation,Tablet,7,11
22,Mexico,19,2024-04-30,Student,Active,1,0,No,No,2,8.74,Latin,Playlists,Lyrics Translation,Smart Speaker,9,9
23,Canada,59,2024-12-10,Premium Duo,Inactive,8,1,Yes,Yes,4,7.09,Pop,Lyrics,Better AI Recommendations,Tablet,9,6
24,France,36,2023-12-18,Premium Family,Inactive,3,1,Yes,No,5,9.06,Jazz,Podcasts,HiFi Audio,Tablet,9,14
25,Canada,53,2023-03-23,Premium Individual,Active,0,0,No,No,1,5.68,Hip-Hop,AI DJ,Social Listening,Car System,4,6
26,UK,31,2023-01-31,Free,Active,1,0,Yes,No,4,4.48,Bollywood,Playlists,Better AI Recommendations,Car System,9,10
27,Indonesia,60,2020-01-07,Premium Duo,Inactive,3,1,No,No,3,10.52,Latin,Playlists,Social Listening,Car System,7,20
28,India,21,2020-09-26,Student,Active,1,0,No,No,4,10.94,Bollywood,Radio,Better AI Recommendations,Car System,9,13
29,USA,47,2024-06-10,Premium Duo,Active,0,0,Yes,No,3,10.37,Hip-Hop,Lyrics,Mood-based Auto Playlists,Car System,9,12
30,Spain,34,2021-11-07,Free,Active,0,0,Yes,No,5,8.27,Bollywood,Podcasts,Concert Alerts,Smart Speaker,8,8
31,Spain,20,2024-10-30,Premium Individual,Active,0,0,No,No,4,9.08,Indie,Offline Mode,HiFi Audio,Mobile,5,12
32,USA,48,2019-04-29,Free,Active,1,0,No,No,3,13.98,Bollywood,Playlists,Social Listening,Car System,8,6
33,Mexico,26,2022-09-09,Free,Active,1,0,No,No,5,6.49,K-Pop,AI DJ,Better AI Recommendations,Smart Speaker,8,7
